Time (ms),Voltage (mV)
2733.6103916168213,3116.625
2740.3855323791504,3007.3125
2747.6274967193604,2718.375
2754.3811798095703,2301.5625
2762.822151184082,1679.8125
2769.5956230163574,1272.75
2777.817726135254,971.0625
2786.0264778137207,924.9375
2793.5004234313965,1145.8125
2801.4283180236816,1579.3125
2808.284044265747,2040.0
2815.2873516082764,2496.1875
2822.0794200897217,2865.0
2829.336404800415,3079.6875
2836.8263244628906,3085.6875
2845.092296600342,2829.375
2853.4953594207764,2297.8125
2861.0997200012207,1828.875
2867.9890632629395,1393.3125
2875.028371810913,1070.0625
2882.3697566986084,911.25
2889.234781265259,990.5625
2896.8467712402344,1313.8125
2903.6660194396973,1731.75
2911.163806915283,2200.5
2918.0383682250977,2635.6875
2924.940347671509,2958.375
2932.114839553833,3116.25
2938.9007091522217,3036.375
2946.504831314087,2771.0625
2954.432725906372,2294.0625
2961.6763591766357,1747.875
2968.492269515991,1326.75
2975.611925125122,1029.75
2982.5336933135986,911.25
2989.426374435425,991.6875
2996.8936443328857,1316.8125
3003.7121772766113,1735.5
3011.1594200134277,2204.625
3018.026113510132,2639.0625
3024.9252319335938,2960.4375
3032.095432281494,3116.25
3042.3550605773926,2922.375
3050.3787994384766,2510.8125
3057.20591545105,2056.5
3064.579486846924,1594.5
3071.4240074157715,1208.0625
3078.754663467407,944.625
3085.59250831604,927.1875
3092.7653312683105,1106.0625
3099.6627807617188,1449.375
3106.724500656128,1894.6875
3114.093065261841,2435.25
3120.9628582000732,2820.9375
3128.142833709717,3060.5625
3134.951114654541,3110.625
3141.9146060943604,2962.6875
3149.942636489868,2576.25
3156.782865524292,2131.125
3164.141893386841,1590.9375
3170.9487438201904,1205.4375
3178.276538848877,966.375
3185.114622116089,916.6875
3192.103862762451,1065.5625
3200.155735015869,1452.75
3206.9571018218994,1898.625
3214.9710655212402,2438.625
3222.949504852295,2875.125
3230.437994003296,3100.125
3237.2825145721436,3081.5625
3244.5244789123535,2870.4375
3251.3370513916016,2504.0625
3258.207321166992,2048.625
3265.674114227295,1515.75
3272.495746612549,1151.0625
3280.097246170044,926.625
3286.8804931640625,945.9375
3294.459581375122,1158.375
3302.4158477783203,1597.5
3309.542655944824,2138.4375
3316.4401054382324,2583.0
3323.272705078125,2924.25
3330.7321071624756,3100.5
3337.5720977783203,3080.8125
3345.571756362915,2815.6875
3352.3995876312256,2428.3125
3359.760046005249,1887.0
3367.1889305114746,1443.0
3374.055862426758,1101.9375
3381.443738937378,915.5625
3388.2265090942383,969.9375
3395.5025672912598,1213.125
3402.3046493530273,1601.4375
3409.491539001465,2142.1875
3416.3951873779297,2586.0
3423.194646835327,2926.3125
3430.6647777557373,3101.4375
3437.4539852142334,3079.875
3448.54474067688,2632.6875
3456.5556049346924,2118.9375
3464.02645111084,1653.0
3470.8757400512695,1252.125
3478.0914783477783,962.25
3484.9801063537598,918.1875
3491.9235706329346,1071.9375
3498.9101886749268,1396.5
3505.7132244110107,1832.4375
3513.34285736084,2376.5625
3521.3003158569336,2831.4375
3528.5472869873047,3065.25
3535.3832244873047,3108.9375
3542.4389839172363,2954.4375
3549.351215362549,2562.375
3556.187629699707,2115.1875
3563.608169555664,1649.25
3570.425033569336,1249.125
3577.8300762176514,961.125
3584.7692489624023,918.5625
3591.5873050689697,1074.0
3598.7443923950195,1399.6875
3605.5819988250732,1836.375
3613.46173286438,2380.5
3621.518611907959,2834.25
3629.1565895080566,3087.1875
3635.929584503174,3095.8125
3643.430709838867,2908.5
3650.299072265625,2558.8125
3657.1168899536133,2111.0625
3664.768934249878,1572.0
3671.529531478882,1191.5625
3679.1393756866455,939.1875
3685.9138011932373,931.6875
3693.4456825256348,1120.3125
3700.3705501556396,1470.1875
3707.27276802063,1918.3125
3715.593099594116,2528.4375
3722.4576473236084,2887.6875
3730.2372455596924,3103.3125
3737.098455429077,3076.3125
3744.3795204162598,2857.125
3751.3296604156494,2485.5
3758.812665939331,2028.1875
3765.643835067749,1497.1875
3773.526191711426,1092.75
3781.564474105835,913.875
3789.531946182251,1004.625
3797.311544418335,1342.3125
3804.121971130371,1767.5625
3811.58447265625,2236.3125
3818.3915615081787,2665.5
3826.00998878479,3012.375
3833.1284523010254,3117.1875
3843.621015548706,2903.4375
3851.7417907714844,2481.75
3859.2934608459473,1945.125
3866.497278213501,1493.625
3873.372793197632,1136.0625
3880.815029144287,922.6875
3887.6075744628906,952.3125
3894.8452472686768,1173.75
3901.7155170440674,1548.0
3908.8058471679688,2084.25
3915.6742095947266,2535.75
3922.6126670837402,2892.375
3931.0615062713623,3104.625
3937.8621578216553,3074.4375
3945.1403617858887,2798.4375
3951.902389526367,2404.875
3959.346055984497,1941.1875
3966.264009475708,1490.0625
3973.10471534729,1133.625
3980.55100440979,922.125
3987.3223304748535,953.4375
3994.605302810669,1176.75
4001.4379024505615,1551.5625
4008.2335472106934,2010.0
4015.3634548187256,2468.8125
4022.1543312072754,2845.3125
4029.6216011047363,3091.125
4037.57905960083,3073.3125
4045.121431350708,2795.625
4051.9590377807617,2401.3125
4059.391736984253,1937.25
4066.26033782959,1486.6875
4073.0509757995605,1131.0
4080.449104309082,921.1875
4087.2113704681396,954.5625
4094.604730606079,1179.375
4101.4649868011475,1554.9375
4108.2563400268555,2013.5625
4115.8106327056885,2542.3125
4122.6701736450195,2897.0625
4130.164384841919,3092.0625
4136.979341506958,3091.5
4144.427537918091,2847.0
4151.228904724121,2470.6875
4158.095836639404,2012.25
4165.3242111206055,1553.625
4172.132968902588,1178.25
4179.562330245972,934.6875
4187.49475479126,955.6875
4194.829702377319,1182.0
4201.654434204102,1558.5
4209.490537643433,2096.625
4217.711687088013,2613.75
4224.8218059539795,2984.0625
4232.213258743286,3114.5625
4239.009141921997,3045.75
4246.822357177734,2732.0625
4253.632068634033,2319.0
4261.161327362061,1851.0
4268.306255340576,1347.5625
4275.831937789917,1042.3125
4282.862424850464,909.75
4289.617538452148,1013.0625
4301.0094165802,1562.25
4308.019399642944,2021.625
4315.472364425659,2479.6875
4322.257280349731,2853.1875
4331.134796142578,3106.875
4337.932586669922,3069.75
4346.566677093506,2729.25
4353.668689727783,2315.0625
4362.993240356445,1693.5
4369.823455810547,1283.4375
4377.047061920166,1005.5625
4385.143995285034,922.875
4392.489194869995,1091.625
4400.520324707031,1495.125
4407.827615737915,2025.5625
4415.215730667114,2483.0625
4422.101259231567,2855.625
4429.740428924561,3094.125
4436.65885925293,3089.0625
4444.382429122925,2838.75
4451.2176513671875,2460.0
4458.058834075928,2000.25
4465.258836746216,1542.75
4472.080230712891,1170.1875
4479.474306106567,932.25
4486.332416534424,938.25
4493.658781051636,1139.625
4501.677513122559,1569.75
4509.069919586182,2108.25
4516.019582748413,2556.375
4522.941589355469,2906.625
4530.731439590454,3108.1875
4538.3265018463135,3067.3125
4545.829772949219,2781.375
4552.743673324585,2382.9375
4560.163259506226,1839.0
4568.235397338867,1338.0
4575.396537780762,1036.3125
4582.426071166992,911.4375
4589.27321434021,986.25
4596.967697143555,1305.9375
4604.835748672485,1798.6875
4612.265586853027,2267.8125
4619.086265563965,2691.0
4626.391649246216,3025.6875
4633.256435394287,3117.0
4640.073537826538,3008.4375
4647.360563278198,2719.6875
4654.153108596802,2303.8125
4661.428689956665,1758.0
4668.233633041382,1334.625
4675.180673599243,1034.625
4682.136297225952,911.4375
4689.167737960815,988.125
4696.7973709106445,1308.75
4703.569650650024,1725.9375
4711.843013763428,2271.5625
4719.876289367676,2754.5625
4727.752685546875,3056.0625
4734.869718551636,3112.125
4742.00177192688,2970.0
4749.051809310913,2589.0
4755.854845046997,2145.1875
4765.204191207886,1532.0625
4772.025585174561,1162.6875
4780.38215637207,930.1875
4787.581920623779,962.625
4797.802209854126,1312.125
4807.909727096558,1962.9375
4817.391157150269,2634.0
4826.9054889678955,3028.6875
4834.876537322998,3111.75
4844.322681427002,2878.5
4852.558851242065,2370.5625
4861.056089401245,1826.25
4868.105173110962,1391.25
4876.285791397095,997.125
4883.487701416016,910.6875
4891.528606414795,1023.75
4898.696660995483,1378.875
4905.644416809082,1811.625
4914.178133010864,2430.1875
4921.46897315979,2817.1875
4928.863286972046,3081.1875
4935.785293579102,3100.6875
4943.936109542847,2875.6875
4952.210903167725,2440.5
4961.751461029053,1744.875
4969.152927398682,1324.125
4977.830410003662,967.5
4985.269069671631,915.9375
4993.710279464722,1152.375
5005.327939987183,1816.125
5021.791219711304,2820.375
5031.589984893799,3110.4375
5044.262409210205,2871.9375
5055.623531341553,2207.625
5067.290544509888,1448.0625
5079.632043838501,943.125
5088.122844696045,967.3125
5098.069667816162,1388.625
5106.0731410980225,1901.25
5115.935564041138,2512.875
5124.828100204468,2923.6875
5132.437944412231,3116.4375
5139.851093292236,3029.8125
5148.560047149658,2636.25
5157.981157302856,2044.6875
5165.809631347656,1511.8125
5173.527002334595,1101.75
5182.716846466064,909.9375
5190.238952636719,1031.25
5199.923276901245,1460.0625
5209.821462631226,2142.9375
5220.006704330444,2774.0625
5228.732347488403,3064.3125
5236.7188930511475,3096.9375
5246.849298477173,2754.9375
5257.070064544678,2116.875
5265.718460083008,1505.625
5275.22087097168,1056.1875
5283.546924591064,911.625
5292.973756790161,1117.125
5301.814317703247,1608.1875
5310.75119972229,2227.5
5319.4262981414795,2720.625
5327.278614044189,3040.125
5335.82067489624,3095.625
